,year,COUNTRY,mount_kba_area,kba,cum_overlap,cum_percPA
29401,1950,AFG,16331460902,16331460902,6768763.416,0.04144616
29402,1950,AGO,18350580764,18350580764,0,0
29403,1950,ALB,6981720191,6981720191,3008514.345,0.043091305
29404,1950,AND,474631265.5,474631265.5,0,0
29405,1950,ARE,122931159.8,122931159.8,0,0
29406,1950,ARG,1.41206E+11,1.41206E+11,23290223565,16.49375386
29407,1950,ARM,11021516898,11021516898,0,0
29408,1950,ASM,2522538123,2522538123,0,0
29409,1950,ATA,31399811.85,31399811.85,0,0
29410,1950,ATF,2627109984,2627109984,0,0
29411,1950,AUS,1.12166E+11,1.12166E+11,4630832.109,0.00412856
29412,1950,AUT,12632799987,12632799987,10998914.83,0.087066326
29413,1950,AZE,11698672988,11698672988,178232987.7,1.523531668
29414,1950,BDI,1140478579,1140478579,348610051.3,30.56699685
29415,1950,BEL,3229304257,3229304257,30191876.2,0.934934394
29416,1950,BES,40883902.37,40883902.37,0,0
29417,1950,BFA,79401708.17,79401708.17,0,0
29418,1950,BGD,1333561822,1333561822,0,0
29419,1950,BGR,23713397484,23713397484,410083475.9,1.729332443
29420,1950,BIH,982214131.5,982214131.5,0,0
29421,1950,BLZ,24137903141,24137903141,303546625.4,1.257551758
29422,1950,BOL,1.38246E+11,1.38246E+11,846571474.7,0.612367049
29423,1950,BRA,4.20208E+11,4.20208E+11,3265175372,0.777037017
29424,1950,BRN,1736355118,1736355118,218847029.9,12.60381748
29425,1950,BTN,13806202681,13806202681,0,0
29426,1950,BWA,8916372422,8916372422,0,0
29427,1950,CAF,36174744975,36174744975,34647507438,95.7781664
29428,1950,CAN,62756754478,62756754478,997974793.4,1.590226903
29429,1950,CHE,5464191470,5464191470,170311948.8,3.116873735
29430,1950,CHL,52892758432,52892758432,4804025192,9.082576395
29431,1950,CHN,7.16106E+11,7.16106E+11,0,0
29432,1950,CIV,13233237214,13233237214,190498228.7,1.439543671
29433,1950,CMR,13779322218,13779322218,0,0
29434,1950,COD,70458032007,70458032007,19273467978,27.35453635
29435,1950,COG,15310919460,15310919460,0,0
29436,1950,COK,2600360.171,2600360.171,0,0
29437,1950,COL,94192789942,94192789942,91349618.91,0.096981541
29438,1950,COM,1509128138,1509128138,0,0
