Country,ffConsump,Income
Albania,61.7657482,Upper middle income
Algeria,99.88747563,Upper middle income
Angola,39.55758379,Upper middle income
Argentina,89.64165189,Upper middle income
Armenia,71.54992989,Lower middle income
Australia,94.99566496,High income
Austria,69.08669158,High income
Azerbaijan,97.86257155,Upper middle income
Bahrain,99.91793513,High income
Bangladesh,71.95927518,Lower middle income
Belarus,91.3924706,Upper middle income
Belgium,70.90315069,High income
Benin,41.65379602,Low income
Bolivia,83.31309784,Lower middle income
Bosnia and Herzegovina,93.99664295,Upper middle income
Botswana,64.90731251,Upper middle income
Brazil,54.56659203,Upper middle income
Brunei Darussalam,99.99563633,High income
Bulgaria,75.0390919,Upper middle income
Cambodia,29.02667031,Lower middle income
Cameroon,26.72890003,Lower middle income
Canada,73.42628541,High income
Caribbean small states,97.73011802,High income
Central Europe and the Baltics,80.23336861,Low income
Chile,76.67911718,Upper middle income
China,88.17761019,Upper middle income
Colombia,75.71843548,Low income
"Congo, Dem. Rep.",3.814662459,Lower middle income
"Congo, Rep.",36.44271135,Upper middle income
Costa Rica,48.26480979,Lower middle income
Cote d'Ivoire,20.86776164,High income
Croatia,81.59547071,Upper middle income
Cuba,86.61783388,High income
Curacao,99.99987693,High income
Cyprus,94.89409483,High income
Czech Republic,78.58209104,High income
Denmark,74.82227821,Lower middle income
East Asia & Pacific (IDA & IBRD countries),85.46713874,Upper middle income
Ecuador,88.47233517,Lower middle income
"Egypt, Arab Rep.",96.45830609,Lower middle income
El Salvador,47.38176679,Upper middle income
Eritrea,21.68270184,High income
Estonia,18.87797812,Low income
European Union,74.33216065,High income
Fragile and conflict affected situations,60.13215803,High income
France,48.42758566,High income
Gabon,41.38277483,Low income
Georgia,72.76506637,High income
Germany,80.37020876,Lower middle income
Ghana,49.91211837,High income
Gibraltar,100,High income
Greece,90.83018538,High income
Guatemala,30.92107225,Low income
High income,81.90016358,Lower middle income
Honduras,52.14850779,High income
"Hong Kong SAR, China",94.31476744,High income
IBRD only,84.71364081,High income
IDA total,42.98084941,Lower middle income
India,71.40734548,Lower middle income
Indonesia,65.4340989,Upper middle income
"Iran, Islamic Rep.",99.42834039,Upper middle income
Iraq,97.43939768,High income
Ireland,87.90211219,High income
Israel,96.48398605,High income
Italy,84.9995344,Upper middle income
Jamaica,82.60930435,High income
Japan,89.70511012,Upper middle income
Jordan,95.99311455,Upper middle income
Kazakhstan,98.93383169,Lower middle income
Kenya,18.91484963,Lower middle income
"Korea, Dem. People�s Rep.",84.1793918,High income
"Korea, Rep.",82.74552314,Lower middle income
Kosovo,88.64308127,High income
Kyrgyz Republic,70.10080255,Lower middle income
Latin America & the Caribbean (IDA & IBRD countries),73.31198558,High income
Least developed countries: UN classification,26.31702536,Upper middle income
Lebanon,95.518786,Lower middle income
Libya,98.82277468,High income
Lower middle income,66.10036185,High income
Luxembourg,87.00913724,High income
"Macedonia, FYR",82.11302455,Low income
Malaysia,94.74808428,Upper middle income
Malta,99.09660318,Upper middle income
Mauritius,82.43970836,Upper middle income
Mexico,89.19102886,Lower middle income
Middle income,81.818427,Lower middle income
Moldova,91.15967078,High income
Mongolia,95.25636832,Upper middle income
Montenegro,63.0441155,Lower middle income
Morocco,89.05678502,Low income
Mozambique,9.108038153,Lower middle income
Myanmar,20.95425781,Upper middle income
Namibia,65.78143663,High income
Nepal,12.98662578,High income
Netherlands,92.32066594,High income
New Zealand,59.79157348,Lower middle income
Nicaragua,48.61373229,Low income
Niger,24.19286423,Lower middle income
North America,82.60925219,High income
Other small states,81.43973693,Lower middle income
Pakistan,60.84379137,Upper middle income
Panama,79.70988459,Upper middle income
Paraguay,33.63711167,Lower middle income
Peru,75.91993015,High income
Philippines,59.5638706,High income
Post-demographic dividend,80.55022459,High income
Pre-demographic dividend,29.36676522,High income
Qatar,100,Upper middle income
Romania,77.6518382,Low income
Russian Federation,90.92286378,Lower middle income
Saudi Arabia,99.99622956,Upper middle income
Senegal,47.4972165,High income
Serbia,89.1290171,Low income
Singapore,97.70145037,High income
Slovenia,65.34284862,Lower middle income
Small states,85.38697453,Low income
South Asia,69.37801944,Low income
South Asia (IDA & IBRD),69.37801944,High income
Spain,76.50008869,High income
Sri Lanka,48.84018447,Upper middle income
Sub-Saharan Africa (excluding high income),39.45283378,Lower middle income
Sub-Saharan Africa (IDA & IBRD countries),39.45283378,Upper middle income
Sudan,29.52712385,Lower middle income
Sweden,34.21418705,Lower middle income
Switzerland,50.3754614,Lower middle income
Syrian Arab Republic,98.67813358,Low income
Tajikistan,36.25452584,Upper middle income
Tanzania,11.68037882,Lower middle income
Thailand,80.19388911,Low income
Togo,19.90908937,High income
Trinidad and Tobago,99.92924194,Upper middle income
Tunisia,88.07194404,Upper middle income
Turkey,89.8972171,High income
Ukraine,79.55724565,High income
United Arab Emirates,99.89986558,High income
United States,83.68643616,High income
Upper middle income,87.11915781,Lower middle income
Uruguay,56.06716763,Lower middle income
Uzbekistan,98.11594607,Upper middle income
"Venezuela, RB",88.126095,High income
Vietnam,68.2042811,Lower middle income
World,81.10825891,Lower middle income
"Yemen, Rep.",98.44542619,Low income
