time,beat
1,91.46
2,91.46
3,91.18
4,91.88
5,91.18
6,89.80
7,90.36
8,92.02
9,91.91
10,91.14
11,91.96
12,91.87
13,90.16
14,89.80
15,91.65
16,93.14
17,93.45
18,92.34
19,91.56
20,92.07
21,92.27
22,92.73
23,94.40
24,95.71
25,95.22
26,95.27
27,96.39
28,96.87
29,97.16
30,97.05
31,97.79
32,98.68
33,98.68
34,98.82
35,99.15
36,99.34
37,99.34
38,99.34
39,99.15
40,98.94
41,99.08
42,98.96
43,99.31
44,99.72
45,99.42
46,99.78
47,101.13
48,102.04
49,101.37
50,100.95
51,101.28
52,101.50
53,101.84
54,102.04
55,102.04
56,102.04
57,102.04
58,102.23
59,102.58
60,102.67
61,102.32
62,102.04
63,102.04
64,101.58
65,101.06
66,101.17
67,101.17
68,99.51
69,98.04
70,97.83
71,96.98
72,95.69
73,95.29
74,95.27
75,93.48
76,91.17
77,90.36
78,88.06
79,85.88
80,85.82
81,84.48
82,83.51
83,83.59
84,83.18
85,83.08
86,83.10
87,82.67
88,82.64
89,82.63
90,82.19
91,82.21
92,81.74
93,80.64
94,80.21
95,80.21
96,80.24
97,80.46
98,80.78
99,81.00
100,81.08
101,81.08
102,81.31
103,82.43
104,83.51
105,84.14
106,85.40
107,85.52
108,85.04
109,85.42
110,85.17
111,84.92
112,85.37
113,86.19
114,86.71
115,86.84
116,87.09
117,87.21
118,87.21
119,87.31
120,87.57
121,87.99
122,88.24
123,88.83
124,90.72
125,92.02
126,92.02
127,91.48
128,90.11
129,89.29
130,90.46
131,92.00
132,92.35
133,93.64
134,93.23
135,91.81
136,92.63
137,93.17
138,93.73
139,93.15
140,91.56
141,91.33
142,92.36
143,93.39
144,93.96
145,94.76
146,95.68
147,96.76
148,97.62
149,97.96
150,98.13
151,98.45
152,98.68
153,98.68
154,98.68
155,98.68
156,98.75
157,99.08
158,99.67
159,100.00
160,100.00
161,100.00
162,100.07
163,100.40
164,100.67
165,100.95
166,101.51
167,101.76
168,101.63
169,101.82
170,102.42
171,103.07
172,103.42
173,103.23
174,103.03
175,103.15
176,103.03
177,103.13
178,103.45
179,103.45
180,103.45
181,103.62
182,103.98
183,104.17
184,104.16
185,103.80
186,103.76
187,103.86
188,103.36
189,103.03
190,103.08
191,102.57
192,101.33
193,100.96
194,101.30
195,100.71
